"X";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS";"T10km";"T10SYS";"STABFQ";"NAME"
1;42259;"185-2";1;100;519;1085;"P";74;FALSE;1;"FGz";461,23418752578;549,230167369848;1,19078373248113;"G7"
2;45707;"189-2";1;100;690;986;"P";75;TRUE;1;"NGz";452,849542402377;549,230167369848;1,21283145049936;"G7"
3;45708;"G2000-1";1;100;688;1287;"P";60;FALSE;0;"NGz";597,129887585265;740,655703291717;1,24035945728132;"s90"
4;48708;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz";491,107889465261;549,230167369848;1,11834930603105;"G7"
5;48710;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz";491,107889465261;549,230167369848;1,11834930603105;"G7"
6;48711;"189-2";2;80;678;5572;"P";54;FALSE;1;"FGz";620,420901891102;740,655703291717;1,19379553627888;"s90"
7;48712;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz";491,107889465261;549,230167369848;1,11834930603105;"G7"
8;48713;"189-2";2;80;678;5572;"P";54;FALSE;1;"Gz";620,420901891102;740,655703291717;1,19379553627888;"s90"
9;48714;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz";491,107889465261;549,230167369848;1,11834930603105;"G7"
10;48715;"189-2";2;80;678;5572;"P";54;FALSE;1;"Gz";620,420901891102;740,655703291717;1,19379553627888;"s90"
11;48716;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz";491,107889465261;549,230167369848;1,11834930603105;"G7"
12;48717;"189-2";2;80;678;5572;"P";54;FALSE;1;"Gz";620,420901891102;740,655703291717;1,19379553627888;"s90"
13;48718;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz";491,107889465261;549,230167369848;1,11834930603105;"G7"
14;48719;"189-2";2;80;678;5572;"P";54;FALSE;1;"Gz";620,420901891102;740,655703291717;1,19379553627888;"s90"
15;48727;"140-1";2;90;608;4086;"P";56;FALSE;1;"FGz";641,964640354022;740,655703291717;1,15373286429494;"s90"
16;48729;"140-1";2;80;608;4086;"P";56;FALSE;1;"FGz";641,964640354022;740,655703291717;1,15373286429494;"s90"
17;48757;"140-1";2;90;618;4086;"P";57;FALSE;1;"FGz";641,964640354022;740,655703291717;1,15373286429494;"s90"
18;48770;"140-1";2;100;633;1366;"P";76;FALSE;1;"FGz";457,339197435583;549,230167369848;1,20092520048472;"G7"
19;48772;"140-1";2;100;608;1366;"P";76;FALSE;1;"FGz";457,339197435583;549,230167369848;1,20092520048472;"G7"
20;49248;"155-1";1;100;519;823;"P";80;TRUE;1;"FGz";448,149852550641;549,230167369848;1,22555025789679;"G7"
21;49510;"185-2";1;100;566;1515;"P";85;TRUE;1;"NGz";490,543663448967;549,230167369848;1,11963563754603;"G7"
22;49691;"189-2";1;100;690;986;"P";75;TRUE;1;"NGz";452,849542402377;549,230167369848;1,21283145049936;"G7"
23;52083;"155-1";1;100;719;1723;"P";74;FALSE;1;"NGz";518,721061789015;549,230167369848;1,05881601467195;"G7"
24;52089;"185-2";1;100;719;1685;"P";70;FALSE;1;"FGz";503,276651688776;549,230167369848;1,09130865802511;"G7"
25;60117;"185-2";1;100;519;1085;"P";74;TRUE;1;"FGz";461,23418752578;549,230167369848;1,19078373248113;"G7"
26;69130;"145-2";1;115;418;780;"R/P";150;TRUE;1;"NGz";446,353117195611;549,230167369848;1,2304835481392;"G7"
27;69131;"145-2";1;115;418;780;"R/P";150;TRUE;1;"NGz";446,353117195611;549,230167369848;1,2304835481392;"G7"
28;69240;"182-1";1;115;419;786;"R/P";115;TRUE;1;"NGz";441,323840678244;549,230167369848;1,24450599932641;"G7"
29;69311;"189-2";2;100;622;1294;"G";65;TRUE;1;"Gz";463,213311869965;740,655703291717;1,59895168017027;"s90"
30;69390;"185-2";1;90;419;2265;"P";56;TRUE;1;"FGz";564,305442644116;740,655703291717;1,31250852343598;"s90"
31;75751;"185-2";2;100;623;1296;"G";65;TRUE;1;"Gz";464,476268288218;740,655703291717;1,59460397410902;"s90"
32;75851;"189-2";2;80;622;4132;"G";65;TRUE;1;"GzG";600,902273160062;740,655703291717;1,23257264346282;"s90"
33;95023;"185-2";1;90;539;2085;"G";60;FALSE;1;"GzG";578,084826847985;740,655703291717;1,28122322000761;"s90"
34;95259;"185-2";1;100;419;835;"P";70;TRUE;1;"FGz";445,734686974405;549,230167369848;1,23219077047371;"G7"
35;95449;"189-2";2;85;623;3922;"G";65;TRUE;1;"NGz";578,750760670143;740,655703291717;1,27974899321791;"s90"
36;52803;"185-2";1;90;674;1970;"G";70;FALSE;1;"GzG";570,132257793421;740,655703291717;1,29909454020067;"s90"
37;55920;"155-1";1;90;563;1323;"P";53;FALSE;1;"NGz";506,811264296417;549,230167369848;1,08369763275155;"G7"
38;55922;"155-1";1;90;563;1323;"P";53;FALSE;1;"NGz";506,811264296417;549,230167369848;1,08369763275155;"G7"
39;55923;"155-1";1;90;719;2123;"G";62;FALSE;1;"GzG";592,84316948591;740,655703291717;1,24932822273045;"s90"
40;55956;"155-1";1;80;563;2123;"G";53;FALSE;1;"GzG";611,126974661626;740,655703291717;1,21195059946717;"s90"
41;55957;"155-1";1;80;679;1523;"P";50;FALSE;1;"NGz";551,849039295383;551,849039295383;1;"no"
42;55958;"155-1";1;80;563;2123;"G";53;FALSE;1;"GzG";611,126974661626;740,655703291717;1,21195059946717;"s90"
43;55968;"140-1";1;80;560;2083;"G";53;FALSE;1;"GzG";670,800262981201;740,655703291717;1,10413746709052;"s90"
44;61890;"155-1";1;90;369;923;"G";67;FALSE;1;"GzG";509,632575408971;740,655703291717;1,45331311032729;"s90"
45;61891;"155-1";1;90;369;2223;"G";59;FALSE;1;"GzG";601,881986924009;740,655703291717;1,23056632260575;"s90"
46;62542;"185-2";1;90;279;1535;"P";68;TRUE;1;"NGz";515,405664058586;549,230167369848;1,06562695303911;"G7"
47;95081;"G2000-3";1;100;267;687;"P";90;FALSE;0;"NGz";480,281571380458;549,230167369848;1,14355869576926;"G7"
