"NAME";"COUNT";"MIN_BFQ";"MEDIAN_BFQ";"MAX_BFQ"
"G16";2049;1;1,02569787663305;1,24264443740639
"s90";1911;1;1,29260439715577;1,72988783582759
"G18";827;1;1,10270161499503;1,29177632288111
"G10";742;1;1,11852143510107;1,27932581453992
"G8";577;1;1,11223785338987;1,28484065798986
"G21";543;1;1,0313785964825;1,18429173045212
"G11";478;1,00784424707973;1,15695130133161;1,39144866616127
"G1";356;1;1,1628231603903;1,3506071479587
"G3";183;1,01837165141004;1,16021259634127;1,33760600072313
"G17";177;1;1,15209235885539;1,34230890492453
"G13";175;1;1,0781045014372;1,11808013941676
"G19";109;1;1,13886053472956;1,39303202186387
"G7";99;1;1,17217347341957;1,3930819982409
"G6";96;1;1,14821593737108;1,34478141139535
"G14";87;1,00634870104026;1,16120247164438;1,42718512563532
"G20";84;1,02943292613262;1,061032884881;1,21794732714398
"G5";72;1,04937956561354;1,19862337423075;1,45075246149408
"G4";49;1,0522835593464;1,16937957572091;1,32326578185407
"G9";47;1;1,05014782313913;1,17064644874435
"G15";42;1;1,17170072129307;1,34185872737215
