"TIME";"G4_MIN";"G4_MAX";"s90_MIN";"s90_MAX"
"0:00-1:00";2;4;1;9
"1:00-2:00";2;4;1;9
"2:00-3:00";2;4;1;9
"3:00-4:00";2;4;2;9
"4:00-5:00";2;4;3;9
"5:00-6:00";2;4;1;9
"6:00-7:00";2;4;1;9
"7:00-8:00";2;4;1;9
"8:00-9:00";2;4;2;9
"9:00-10:00";2;4;3;9
"10:00-11:00";2;4;2;9
"11:00-12:00";2;4;1;9
"12:00-13:00";2;4;1;9
"13:00-14:00";2;4;1;9
"14:00-15:00";2;4;1;9
"15:00-16:00";2;4;1;9
"16:00-17:00";2;4;1;9
"17:00-18:00";2;4;1;9
"18:00-19:00";2;4;1;9
"19:00-20:00";2;4;2;9
"20:00-21:00";2;4;2;9
"21:00-22:00";2;4;1;9
"22:00-23:00";2;4;1;9
"23:00-24:00";2;4;1;9
"24:00-25:00";2;4;1;9
"25:00-26:00";2;4;1;9
"26:00-27:00";2;4;1;9
"27:00-28:00";2;4;1;9
"28:00-29:00";2;4;1;9
"29:00-30:00";2;4;1;9
"30:00-31:00";2;4;1;9
"31:00-32:00";2;4;1;9
"32:00-33:00";2;4;1;9
"33:00-34:00";2;4;1;9
"34:00-35:00";2;4;1;9
"35:00-36:00";2;4;1;9
"36:00-37:00";2;4;1;9
"37:00-38:00";2;4;1;9
"38:00-39:00";2;4;1;9
"39:00-40:00";2;4;1;9
"40:00-41:00";2;4;1;9
"41:00-42:00";2;4;1;9
"42:00-43:00";2;4;1;9
"43:00-44:00";2;4;1;9
"44:00-45:00";2;4;1;9
"45:00-46:00";2;4;1;9
"46:00-47:00";2;4;1;9
"47:00-48:00";2;4;1;9
