"";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS"
"1";14;"185-2";1;100;639;1385;"P";65;FALSE;1;"FGz"
"2";60022;"155-1";1;100;639;1623;"P";65;FALSE;1;"FGz"
"3";60024;"185-2";1;100;639;1685;"P";65;FALSE;1;"FGz"
"4";60765;"140-1";1;100;506;783;"P";86;TRUE;1;"NGz"
"5";62246;"155-1";1;100;419;723;"P";86;TRUE;1;"NGz"
"6";95394;"183-1";1;100;570;1857;"P";75;TRUE;1;"NGz"
"7";32851;"185-2";1;100;599;1335;"P";75;TRUE;1;"NGz"
"8";41302;"189-2";1;120;629;1686;"P";70;TRUE;1;"FGz"
"9";41306;"189-2";1;120;629;1686;"P";70;TRUE;1;"NGz"
"10";41307;"189-2";1;110;629;1686;"P";70;FALSE;1;"FGz"
"11";41360;"145-2";1;110;628;1680;"P";70;FALSE;1;"FGz"
"12";41361;"145-2";1;120;628;1680;"P";70;TRUE;1;"FGz"
"13";42313;"6186-1";1;100;639;1684;"P";80;TRUE;1;"FGz"
"14";42331;"189-2";1;100;649;1886;"G";69;TRUE;1;"GzG"
"15";42357;"185-2";1;100;639;1685;"P";80;TRUE;1;"NGz"
"16";42465;"185-2";1;100;619;1885;"G";80;TRUE;1;"GzG"
"17";43303;"185CL1-1";1;100;599;984;"P";80;TRUE;1;"FGz"
"18";43304;"185-2";1;100;639;1685;"P";80;FALSE;1;"NGz"
"19";43305;"185-2";1;100;639;1685;"P";80;FALSE;1;"FGz"
"20";43555;"145-2";1;100;598;1879;"G";72;TRUE;1;"GzG"
"21";45701;"145-2";1;100;517;2180;"G";65;TRUE;1;"GzG"
"22";46327;"139-1";1;100;616;786;"P";70;FALSE;1;"NGz"
"23";47302;"155-1";1;100;619;1123;"P";70;TRUE;1;"FGz"
"24";47306;"155-1";1;100;619;1573;"P";70;FALSE;1;"FGz"
"25";47307;"155-1";1;100;619;1123;"P";70;FALSE;1;"FGz"
"26";47309;"155-1";1;100;619;1423;"P";70;FALSE;1;"FGz"
"27";47410;"151-1";1;90;569;2418;"P";58;TRUE;1;"FGz"
"28";47437;"155-1";1;100;619;823;"P";71;FALSE;1;"FGz"
"29";47754;"155-1";1;90;519;2088;"P";56;TRUE;1;"FGz"
"30";47761;"185-2";1;100;419;1885;"G";62;FALSE;1;"GzG"
"31";48442;"151-1";1;90;499;2418;"P";63;FALSE;1;"FGz"
"32";48571;"145-2";1;90;568;2380;"G";63;FALSE;1;"GzG"
"33";49315;"185-2";1;100;454;995;"P";70;TRUE;1;"NGz"
"34";49386;"155-1";1;100;619;1573;"P";70;TRUE;1;"NGz"
"35";49390;"185-2";1;90;619;2385;"P";70;TRUE;1;"NGz"
"36";49391;"185-2";1;90;499;1085;"P";55;TRUE;1;"NGz"
"37";49397;"155-1";1;100;619;1123;"P";70;TRUE;1;"NGz"
"38";49407;"155-1";1;100;619;1323;"P";70;TRUE;1;"FGz"
"39";49408;"155-1";1;100;619;1123;"P";70;FALSE;1;"NGz"
"40";49409;"155-1";1;100;619;1123;"P";69;FALSE;1;"FGz"
"41";50213;"145-2";1;90;598;2080;"G";70;TRUE;1;"GzG"
"42";50549;"145-2";1;100;608;1680;"P";78;FALSE;1;"FGz"
"43";51010;"155-1";1;100;499;1723;"P";65;FALSE;1;"NGz"
"44";51360;"155-1";1;100;619;1723;"P";68;FALSE;1;"Gz"
"45";51362;"155-1";1;100;619;1723;"P";67;FALSE;1;"Gz"
"46";51366;"155-1";1;100;619;1723;"P";68;FALSE;1;"Gz"
"47";51372;"155-1";1;100;619;1723;"P";68;FALSE;1;"Gz"
"48";51374;"155-1";1;100;599;1723;"P";68;FALSE;1;"Gz"
"49";51378;"155-1";1;100;569;1723;"P";68;FALSE;1;"Gz"
"50";51382;"155-1";1;100;619;1723;"P";68;FALSE;1;"Gz"
"51";51492;"155-1";1;100;659;1913;"G";65;FALSE;1;"GzG"
"52";51513;"155-1";1;100;509;1723;"P";65;FALSE;1;"FGz"
"53";51515;"155-1";1;100;509;1723;"P";65;FALSE;1;"FGz"
"54";51519;"155-1";1;100;594;1723;"P";65;FALSE;1;"FGz"
"55";51525;"155-1";1;100;594;1723;"P";65;FALSE;1;"FGz"
"56";51535;"155-1";1;100;654;1723;"P";65;TRUE;1;"FGz"
"57";51543;"155-1";1;100;654;1723;"P";65;TRUE;1;"FGz"
"58";52421;"155-1";1;80;639;1723;"P";40;FALSE;1;"FGz"
"59";52423;"155-1";1;100;639;2123;"G";68;FALSE;1;"GzG"
"60";52429;"155-1";1;100;639;2123;"G";68;FALSE;1;"GzG"
"61";52560;"155-1";1;100;689;1723;"P";68;FALSE;1;"Gz"
"62";52566;"155-1";1;100;648;1643;"P";68;FALSE;1;"FGz"
"63";52568;"155-1";1;100;689;1723;"P";68;FALSE;1;"FGz"
"64";53570;"294-3";1;80;264;380;"P";60;FALSE;0;"NGz"
"65";53571;"294-3";1;80;264;930;"P";60;FALSE;0;"NGz"
"66";53578;"185-2";1;100;719;1684;"P";70;TRUE;1;"NGz"
"67";53838;"261-1";2;100;652;1160;"P";67;FALSE;0;"NGz"
"68";53841;"260-2";1;100;637;1184;"P";67;FALSE;0;"NGz"
"69";53843;"261-1";1;80;636;880;"P";40;FALSE;0;"NGz"
"70";53844;"260-2";1;100;637;1284;"P";67;FALSE;0;"NGz"
"71";53845;"260-2";1;100;637;1184;"P";67;FALSE;0;"NGz"
"72";53846;"140-1";1;100;636;1183;"P";67;FALSE;1;"NGz"
"73";53847;"260-2";1;100;637;1184;"P";67;FALSE;0;"NGz"
"74";53848;"140-1";1;100;636;2283;"P";67;FALSE;1;"NGz"
"75";53849;"140-1";1;100;636;1183;"P";66;FALSE;1;"NGz"
"76";53850;"260-2";1;100;637;1284;"P";67;FALSE;0;"NGz"
"77";53852;"260-2";1;100;637;1284;"P";67;FALSE;0;"NGz"
"78";53853;"260-2";1;100;637;1184;"P";67;FALSE;0;"NGz"
"79";53854;"260-2";1;100;637;1184;"P";67;FALSE;0;"NGz"
"80";53855;"260-2";1;100;637;1184;"P";67;FALSE;0;"NGz"
"81";53856;"260-2";1;100;637;1284;"P";67;FALSE;0;"Lz"
"82";53857;"260-2";1;100;637;1184;"P";67;FALSE;0;"NGz"
"83";53858;"260-2";1;100;637;784;"P";67;FALSE;0;"NGz"
"84";53872;"261-1";1;80;616;1480;"P";47;FALSE;0;"NGz"
"85";53885;"294-3";1;80;324;730;"P";50;FALSE;0;"NGz"
"86";53886;"294-3";1;80;324;730;"P";50;FALSE;0;"NGz"
"87";53891;"261-1";1;80;466;1080;"P";50;FALSE;0;"NGz"
"88";53892;"261-1";1;80;566;1110;"P";54;FALSE;0;"NGz"
"89";53897;"295-1";1;80;414;579;"P";50;FALSE;0;"NGz"
"90";53898;"295-1";1;80;214;479;"P";50;FALSE;0;"NGz"
"91";53919;"250-1";1;70;304;2126;"G";55;FALSE;0;"GzG"
"92";53923;"G1700-1";1;90;414;1087;"P";55;FALSE;0;"NGz"
"93";60001;"155-1";1;100;534;1123;"P";67;FALSE;1;"FGz"
"94";60002;"155-1";1;100;534;1123;"P";69;FALSE;1;"FGz"
