"";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS"
"1";42259;"185-2";1;100;519;1085;"P";74;FALSE;1;"FGz"
"2";45707;"189-2";1;100;690;986;"P";75;TRUE;1;"NGz"
"3";45708;"G2000-1";1;100;688;1287;"P";60;FALSE;0;"NGz"
"4";48708;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz"
"5";48710;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz"
"6";48711;"189-2";2;80;678;5572;"P";54;FALSE;1;"FGz"
"7";48712;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz"
"8";48713;"189-2";2;80;678;5572;"P";54;FALSE;1;"Gz"
"9";48714;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz"
"10";48715;"189-2";2;80;678;5572;"P";54;FALSE;1;"Gz"
"11";48716;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz"
"12";48717;"189-2";2;80;678;5572;"P";54;FALSE;1;"Gz"
"13";48718;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz"
"14";48719;"189-2";2;80;678;5572;"P";54;FALSE;1;"Gz"
"15";48727;"140-1";2;90;608;4086;"P";56;FALSE;1;"FGz"
"16";48729;"140-1";2;80;608;4086;"P";56;FALSE;1;"FGz"
"17";48757;"140-1";2;90;618;4086;"P";57;FALSE;1;"FGz"
"18";48770;"140-1";2;100;633;1366;"P";76;FALSE;1;"FGz"
"19";48772;"140-1";2;100;608;1366;"P";76;FALSE;1;"FGz"
"20";49248;"155-1";1;100;519;823;"P";80;TRUE;1;"FGz"
"21";49510;"185-2";1;100;566;1515;"P";85;TRUE;1;"NGz"
"22";49691;"189-2";1;100;690;986;"P";75;TRUE;1;"NGz"
"23";52083;"155-1";1;100;719;1723;"P";74;FALSE;1;"NGz"
"24";52089;"185-2";1;100;719;1685;"P";70;FALSE;1;"FGz"
"25";60117;"185-2";1;100;519;1085;"P";74;TRUE;1;"FGz"
"26";69130;"145-2";1;115;418;780;"R/P";150;TRUE;1;"NGz"
"27";69131;"145-2";1;115;418;780;"R/P";150;TRUE;1;"NGz"
"28";69240;"182-1";1;115;419;786;"R/P";115;TRUE;1;"NGz"
"29";69311;"189-2";2;100;622;1294;"G";65;TRUE;1;"Gz"
"30";69390;"185-2";1;90;419;2265;"P";56;TRUE;1;"FGz"
"31";75751;"185-2";2;100;623;1296;"G";65;TRUE;1;"Gz"
"32";75851;"189-2";2;80;622;4132;"G";65;TRUE;1;"GzG"
"33";95023;"185-2";1;90;539;2085;"G";60;FALSE;1;"GzG"
"34";95259;"185-2";1;100;419;835;"P";70;TRUE;1;"FGz"
"35";95449;"189-2";2;85;623;3922;"G";65;TRUE;1;"NGz"
"36";52803;"185-2";1;90;674;1970;"G";70;FALSE;1;"GzG"
"37";55920;"155-1";1;90;563;1323;"P";53;FALSE;1;"NGz"
"38";55922;"155-1";1;90;563;1323;"P";53;FALSE;1;"NGz"
"39";55923;"155-1";1;90;719;2123;"G";62;FALSE;1;"GzG"
"40";55956;"155-1";1;80;563;2123;"G";53;FALSE;1;"GzG"
"41";55957;"155-1";1;80;679;1523;"P";50;FALSE;1;"NGz"
"42";55958;"155-1";1;80;563;2123;"G";53;FALSE;1;"GzG"
"43";55968;"140-1";1;80;560;2083;"G";53;FALSE;1;"GzG"
"44";61890;"155-1";1;90;369;923;"G";67;FALSE;1;"GzG"
"45";61891;"155-1";1;90;369;2223;"G";59;FALSE;1;"GzG"
"46";62542;"185-2";1;90;279;1535;"P";68;TRUE;1;"NGz"
"47";95081;"G2000-3";1;100;267;687;"P";90;FALSE;0;"NGz"
