"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"TFZ";"NUM_TFZ";"T10"
1531;56;"G";90;0,93984962406015;0,954887218045113;1;0,947368421052632;0,902255639097744;2300;"G";"285-2";1;900,374323309766
1554;56;"G";90;0,93984962406015;0,954887218045113;1;0,947368421052632;0,902255639097744;2300;"P";"285-2";1;900,374323309766
1531;55;"G";90;0,93984962406015;0,962406015037594;1;0,947368421052632;0,902255639097744;2300;"G";"285-2";1;900,374323309766
1554;55;"G";90;0,93984962406015;0,962406015037594;1;0,947368421052632;0,902255639097744;2300;"P";"285-2";1;900,374323309766
1531;52;"G";90;0,93984962406015;0,977443609022556;1;0,947368421052632;0,902255639097744;2300;"G";"285-2";1;900,374323309766
1554;52;"G";90;0,93984962406015;0,977443609022556;1;0,947368421052632;0,902255639097744;2300;"P";"285-2";1;900,374323309766
1531;50;"G";90;0,93984962406015;0,992481203007519;1;0,947368421052632;0,909774436090226;2300;"G";"285-2";1;900,374323309766
1554;50;"G";90;0,93984962406015;0,992481203007519;1;0,947368421052632;0,909774436090226;2300;"P";"285-2";1;900,374323309766
1531;42;"G";90;0,93984962406015;1;1;0,947368421052632;0,909774436090226;2300;"G";"285-2";1;900,374323309766
1554;42;"G";90;0,93984962406015;1;1;0,947368421052632;0,909774436090226;2300;"P";"285-2";1;900,374323309766
1531;56;"G";80;0,93984962406015;0,954887218045113;1;1;0,917293233082707;2300;"G";"285-2";1;900,374323309766
1554;56;"G";80;0,93984962406015;0,954887218045113;1;1;0,917293233082707;2300;"P";"285-2";1;900,374323309766
1531;55;"G";80;0,93984962406015;0,962406015037594;1;1;0,917293233082707;2300;"G";"285-2";1;900,374323309766
1554;55;"G";80;0,93984962406015;0,962406015037594;1;1;0,917293233082707;2300;"P";"285-2";1;900,374323309766
1531;52;"G";80;0,93984962406015;0,977443609022556;1;1;0,917293233082707;2300;"G";"285-2";1;900,374323309766
1554;52;"G";80;0,93984962406015;0,977443609022556;1;1;0,917293233082707;2300;"P";"285-2";1;900,374323309766
1530;50;"G";80;0,917293233082707;0,992481203007519;1;1;0,909774436090226;2200;"G";"285-2";1;870,444529404569
1531;50;"G";80;0,93984962406015;0,992481203007519;1;1;0,932330827067669;2300;"G";"285-2";1;900,374323309766
1553;50;"G";80;0,917293233082707;0,992481203007519;1;1;0,909774436090226;2200;"P";"285-2";1;870,444529404569
1554;50;"G";80;0,93984962406015;0,992481203007519;1;1;0,932330827067669;2300;"P";"285-2";1;900,374323309766
2136;50;"G";80;0,909774436090226;0,992481203007519;1;1;0,902255639097744;2000;"G";"ER 20D-2";1;915,962265662011
2153;50;"G";80;0,909774436090226;0,992481203007519;1;1;0,902255639097744;2000;"P";"ER 20D-2";1;915,962265662011
905;42;"G";80;0,902255639097744;1;1;1;0,902255639097744;1300;"G";"203-1";1;862,916691385991
921;42;"G";80;0,902255639097744;1;1;1;0,902255639097744;1300;"P";"203-1";1;862,916691385991
1431;42;"G";80;0,902255639097744;1;1;1;0,902255639097744;3100;"G";"264-1";1;865,098642474435
1432;42;"G";80;0,902255639097744;1;1;1;0,902255639097744;3200;"G";"264-1";1;893,02756852517
1462;42;"G";80;0,902255639097744;1;1;1;0,902255639097744;3100;"P";"264-1";1;865,098642474435
1463;42;"G";80;0,902255639097744;1;1;1;0,902255639097744;3200;"P";"264-1";1;893,02756852517
1530;42;"G";80;0,917293233082707;1;1;1;0,917293233082707;2200;"G";"285-2";1;870,444529404569
1531;42;"G";80;0,93984962406015;1;1;1;0,93984962406015;2300;"G";"285-2";1;900,374323309766
1553;42;"G";80;0,917293233082707;1;1;1;0,917293233082707;2200;"P";"285-2";1;870,444529404569
1554;42;"G";80;0,93984962406015;1;1;1;0,93984962406015;2300;"P";"285-2";1;900,374323309766
2136;42;"G";80;0,909774436090226;1;1;1;0,909774436090226;2000;"G";"ER 20D-2";1;915,962265662011
2153;42;"G";80;0,909774436090226;1;1;1;0,909774436090226;2000;"P";"ER 20D-2";1;915,962265662011
