"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"TFZ";"NUM_TFZ";"T10"
2059;55;"G";60;1;1;1;1;1;2600;"P";"DE1002-1";1;21376,8247228716
2060;55;"G";60;1;1;1;1;1;2700;"P";"DE1002-1";1;21441,640431808
2252;55;"G";60;0,961538461538462;1;1;1;0,961538461538462;2600;"G";"G1206-1";1;21446,9109371067
2253;55;"G";60;0,961538461538462;1;1;1;0,961538461538462;2700;"G";"G1206-1";1;21464,4696377919
2254;55;"G";60;1;1;1;1;1;2800;"G";"G1206-1";1;21532,2017775241
2276;55;"G";60;0,961538461538462;1;1;1;0,961538461538462;2600;"P";"G1206-1";1;21446,9109371067
2277;55;"G";60;0,961538461538462;1;1;1;0,961538461538462;2700;"P";"G1206-1";1;21464,4696377919
2278;55;"G";60;1;1;1;1;1;2800;"P";"G1206-1";1;21532,2017775241
2321;55;"G";60;1;1;1;1;1;1900;"G";"G1206-3";1;21143,5773069503
2322;55;"G";60;1;1;1;1;1;2000;"G";"G1206-3";1;21165,7077626879
2323;55;"G";60;1;1;1;1;1;2100;"G";"G1206-3";1;21275,8740329499
2324;55;"G";60;1;1;1;1;1;2200;"G";"G1206-3";1;21411,0207961447
2340;55;"G";60;1;1;1;1;1;1900;"P";"G1206-3";1;21143,5773069503
2341;55;"G";60;1;1;1;1;1;2000;"P";"G1206-3";1;21165,7077626879
2342;55;"G";60;1;1;1;1;1;2100;"P";"G1206-3";1;21275,8740329499
2343;55;"G";60;1;1;1;1;1;2200;"P";"G1206-3";1;21411,0207961447
2358;55;"G";60;1;1;1;1;1;1900;"G";"G1206-4";1;21078,2221377406
2359;55;"G";60;1;1;1;1;1;2000;"G";"G1206-4";1;21112,9406770869
2373;55;"G";60;1;1;1;1;1;1900;"P";"G1206-4";1;21078,2221377406
2374;55;"G";60;1;1;1;1;1;2000;"P";"G1206-4";1;21112,9406770869
2387;55;"G";60;0,961538461538462;1;1;1;0,961538461538462;2100;"G";"G1700-1";1;21270,1681373927
2388;55;"G";60;0,961538461538462;1;1;1;0,961538461538462;2200;"G";"G1700-1";1;21350,7520126946
2401;55;"G";60;0,961538461538462;1;1;1;0,961538461538462;2100;"P";"G1700-1";1;21270,1681373927
2402;55;"G";60;0,961538461538462;1;1;1;0,961538461538462;2200;"P";"G1700-1";1;21350,7520126946
