"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"TFZ";"NUM_TFZ";"T10"
43;55;"G";100;0,9375;1;1;1;0,9375;1900;"G";"1116-1";1;536,210798554252
44;55;"G";100;1;1;1;1;1;2000;"G";"1116-1";1;551,34340321043
45;55;"G";100;1;1;1;1;1;2100;"G";"1116-1";1;565,903123095015
46;55;"G";100;1;1;1;1;1;2200;"G";"1116-1";1;582,187176535294
47;55;"G";100;1;1;1;1;1;2300;"G";"1116-1";1;601,787854476128
48;55;"G";100;1;1;1;1;1;2400;"G";"1116-1";1;621,591969718833
49;55;"G";100;1;1;1;1;1;2500;"G";"1116-1";1;647,221412346245
50;55;"G";100;1;1;1;1;1;2600;"G";"1116-1";1;671,427161794207
51;55;"G";100;1;1;1;1;1;2700;"G";"1116-1";1;700,191143785847
66;55;"G";100;0,9375;1;1;1;0,9375;1900;"P";"1116-1";1;536,210798554252
67;55;"G";100;1;1;1;1;1;2000;"P";"1116-1";1;551,34340321043
68;55;"G";100;1;1;1;1;1;2100;"P";"1116-1";1;565,903123095015
69;55;"G";100;1;1;1;1;1;2200;"P";"1116-1";1;582,187176535294
70;55;"G";100;1;1;1;1;1;2300;"P";"1116-1";1;601,787854476128
71;55;"G";100;1;1;1;1;1;2400;"P";"1116-1";1;621,591969718833
72;55;"G";100;1;1;1;1;1;2500;"P";"1116-1";1;647,221412346245
73;55;"G";100;1;1;1;1;1;2600;"P";"1116-1";1;671,427161794207
74;55;"G";100;1;1;1;1;1;2700;"P";"1116-1";1;700,191143785847
76;55;"G";100;0,9375;1;1;1;0,9375;1300;"G";"1144-1";1;549,509255612782
77;55;"G";100;1;1;1;1;1;1400;"G";"1144-1";1;571,499184453188
78;55;"G";100;1;1;1;1;1;1500;"G";"1144-1";1;594,886597570575
79;55;"G";100;1;1;1;1;1;1600;"G";"1144-1";1;619,309520682584
80;55;"G";100;1;1;1;1;1;1700;"G";"1144-1";1;656,631092095655
81;55;"G";100;1;1;1;1;1;1800;"G";"1144-1";1;690,710014791837
83;55;"G";100;0,9375;1;1;1;0,9375;1300;"P";"1144-1";1;549,509255612782
84;55;"G";100;1;1;1;1;1;1400;"P";"1144-1";1;571,499184453188
85;55;"G";100;1;1;1;1;1;1500;"P";"1144-1";1;594,886597570575
86;55;"G";100;1;1;1;1;1;1600;"P";"1144-1";1;619,309520682584
87;55;"G";100;1;1;1;1;1;1700;"P";"1144-1";1;656,631092095655
88;55;"G";100;1;1;1;1;1;1800;"P";"1144-1";1;690,710014791837
96;55;"G";100;0,9375;1;1;1;0,9375;1600;"G";"1265-1";1;846,409284091822
97;55;"G";100;1;1;1;1;1;1700;"G";"1265-1";1;896,196484617383
106;55;"G";100;0,9375;1;1;1;0,9375;1600;"P";"1265-1";1;846,409284091822
107;55;"G";100;1;1;1;1;1;1700;"P";"1265-1";1;896,196484617383
126;55;"G";100;1;1;1;1;1;1500;"G";"139-1";1;630,817005416168
127;55;"G";100;1;1;1;1;1;1600;"G";"139-1";1;663,187235538243
128;55;"G";100;1;1;1;1;1;1700;"G";"139-1";1;690,801841628035
129;55;"G";100;1;1;1;1;1;1800;"G";"139-1";1;737,955349431252
130;55;"G";100;1;1;1;1;1;1900;"G";"139-1";1;786,260801626734
143;55;"G";100;1;1;1;1;1;1500;"P";"139-1";1;630,817005416168
144;55;"G";100;1;1;1;1;1;1600;"P";"139-1";1;663,187235538243
145;55;"G";100;1;1;1;1;1;1700;"P";"139-1";1;690,801841628035
146;55;"G";100;1;1;1;1;1;1800;"P";"139-1";1;737,955349431252
147;55;"G";100;1;1;1;1;1;1900;"P";"139-1";1;786,260801626734
161;55;"G";100;1;1;1;1;1;1500;"G";"140-1";1;630,121122997303
162;55;"G";100;1;1;1;1;1;1600;"G";"140-1";1;661,444561705358
163;55;"G";100;1;1;1;1;1;1700;"G";"140-1";1;690,2734198636
164;55;"G";100;1;1;1;1;1;1800;"G";"140-1";1;731,419696452075
