"NAME";"COUNT";"MIN_BFQ";"MEDIAN_BFQ";"MAX_BFQ"
"G2";3154;1;1,04551451021291;1,25681929644764
"s90";1819;1,01288718262634;1,33593369693586;2,11972832692959
"G3";1073;1;1,10396606198807;1,41622521105219
"G9";641;1,00646970913198;1,17227710686143;1,50862330189194
"G8";597;1;1,06960713812098;1,33846881700405
"G5";575;1;1,11730132453424;1,36294455699284
"G7";298;1,00558134411311;1,16845037255139;1,40250787389783
"G4";178;1,04652457002872;1,19243591562359;1,63401438369358
"G6";143;1;1,15110121014846;1,41418993789254
"G1";140;1;1,15661326530961;1,53730002876309
"G10";121;1,0340970293846;1,23314155881336;1,62887199415696
