"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
245;47;"G";80;0,928571428571429;0,928571428571429;1;0,976190476190476;0,904761904761905;2500;"G";30;"1116-1";1;631,614261311566
246;47;"G";80;0,952380952380952;0,928571428571429;1;0,976190476190476;0,904761904761905;2600;"G";30;"1116-1";1;637,924200103047
247;47;"G";80;0,952380952380952;0,928571428571429;1;0,976190476190476;0,904761904761905;2700;"G";30;"1116-1";1;644,385069359716
268;47;"G";80;0,928571428571429;0,928571428571429;1;0,976190476190476;0,904761904761905;2500;"P";30;"1116-1";1;631,614261311566
269;47;"G";80;0,952380952380952;0,928571428571429;1;0,976190476190476;0,904761904761905;2600;"P";30;"1116-1";1;637,924200103047
270;47;"G";80;0,952380952380952;0,928571428571429;1;0,976190476190476;0,904761904761905;2700;"P";30;"1116-1";1;644,385069359716
599;47;"G";80;0,952380952380952;0,928571428571429;1;0,976190476190476;0,904761904761905;1800;"G";30;"1144-1";1;642,687938098378
606;47;"G";80;0,952380952380952;0,928571428571429;1;0,976190476190476;0,904761904761905;1800;"P";30;"1144-1";1;642,687938098378
865;47;"G";80;1;0,928571428571429;1;0,976190476190476;0,928571428571429;1500;"G";30;"1293-2";1;1004,91418127146
866;47;"G";80;1;0,928571428571429;1;0,976190476190476;0,928571428571429;1600;"G";30;"1293-2";1;921,334459946183
867;47;"G";80;1;0,928571428571429;1;0,976190476190476;0,928571428571429;1700;"G";30;"1293-2";1;943,177170402928
868;47;"G";80;1;0,928571428571429;1;0,976190476190476;0,928571428571429;1800;"G";30;"1293-2";1;1026,50193491488
869;47;"G";80;1;0,928571428571429;1;0,976190476190476;0,928571428571429;1500;"P";30;"1293-2";1;1004,91418127146
870;47;"G";80;1;0,928571428571429;1;0,976190476190476;0,928571428571429;1600;"P";30;"1293-2";1;921,334459946183
871;47;"G";80;1;0,928571428571429;1;0,976190476190476;0,928571428571429;1700;"P";30;"1293-2";1;943,177170402928
872;47;"G";80;1;0,928571428571429;1;0,976190476190476;0,928571428571429;1800;"P";30;"1293-2";1;1026,50193491488
873;47;"G";80;1;0,928571428571429;1;0,976190476190476;0,928571428571429;1500;"G";40;"1293-2";1;1004,91418127146
874;47;"G";80;1;0,928571428571429;1;0,976190476190476;0,928571428571429;1600;"G";40;"1293-2";1;921,334459946183
875;47;"G";80;1;0,928571428571429;1;0,976190476190476;0,928571428571429;1700;"G";40;"1293-2";1;943,177170402928
876;47;"G";80;1;0,928571428571429;1;0,976190476190476;0,928571428571429;1800;"G";40;"1293-2";1;1026,50193491488
877;47;"G";80;1;0,928571428571429;1;0,976190476190476;0,928571428571429;1500;"P";40;"1293-2";1;1004,91418127146
878;47;"G";80;1;0,928571428571429;1;0,976190476190476;0,928571428571429;1600;"P";40;"1293-2";1;921,334459946183
