"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
865;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1500;"G";30;"1293-2";1;1004,91418127146
866;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1600;"G";30;"1293-2";1;921,334459946183
867;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1700;"G";30;"1293-2";1;943,177170402928
868;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1800;"G";30;"1293-2";1;1026,50193491488
869;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1500;"P";30;"1293-2";1;1004,91418127146
870;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1600;"P";30;"1293-2";1;921,334459946183
871;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1700;"P";30;"1293-2";1;943,177170402928
872;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1800;"P";30;"1293-2";1;1026,50193491488
873;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1500;"G";40;"1293-2";1;1004,91418127146
874;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1600;"G";40;"1293-2";1;921,334459946183
875;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1700;"G";40;"1293-2";1;943,177170402928
876;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1800;"G";40;"1293-2";1;1026,50193491488
877;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1500;"P";40;"1293-2";1;1004,91418127146
878;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1600;"P";40;"1293-2";1;921,334459946183
879;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1700;"P";40;"1293-2";1;943,177170402928
880;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1800;"P";40;"1293-2";1;1026,50193491488
881;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1500;"G";50;"1293-2";1;1004,91418127146
882;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1600;"G";50;"1293-2";1;921,334459946183
883;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1700;"G";50;"1293-2";1;943,177170402928
884;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1800;"G";50;"1293-2";1;1026,50193491488
885;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1500;"P";50;"1293-2";1;1004,91418127146
886;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1600;"P";50;"1293-2";1;921,334459946183
887;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1700;"P";50;"1293-2";1;943,177170402928
888;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1800;"P";50;"1293-2";1;1026,50193491488
889;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1500;"G";60;"1293-2";1;1004,91418127146
890;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1600;"G";60;"1293-2";1;921,334459946183
891;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1700;"G";60;"1293-2";1;943,177170402928
892;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1800;"G";60;"1293-2";1;1026,50193491488
893;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1500;"P";60;"1293-2";1;1004,91418127146
894;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1600;"P";60;"1293-2";1;921,334459946183
895;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1700;"P";60;"1293-2";1;943,177170402928
896;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1800;"P";60;"1293-2";1;1026,50193491488
897;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1500;"G";70;"1293-2";1;1004,91418127146
898;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1600;"G";70;"1293-2";1;921,334459946183
899;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1700;"G";70;"1293-2";1;943,177170402928
900;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1800;"G";70;"1293-2";1;1026,50193491488
901;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1500;"P";70;"1293-2";1;1004,91418127146
902;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1600;"P";70;"1293-2";1;921,334459946183
903;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1700;"P";70;"1293-2";1;943,177170402928
904;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;1800;"P";70;"1293-2";1;1026,50193491488
919;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2000;"G";30;"139-1";1;671,221941191462
920;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2100;"G";30;"139-1";1;683,340761343435
921;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2200;"G";30;"139-1";1;696,263624890494
936;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2000;"P";30;"139-1";1;671,221941191462
937;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2100;"P";30;"139-1";1;683,340761343435
938;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2200;"P";30;"139-1";1;696,263624890494
1192;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2000;"G";30;"140-1";1;670,800262981201
1193;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2100;"G";30;"140-1";1;682,895844486641
1194;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2200;"G";30;"140-1";1;695,791805181298
1195;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2300;"G";30;"140-1";1;723,85325724153
1196;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2400;"G";30;"140-1";1;733,904222747745
1212;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2000;"P";30;"140-1";1;670,800262981201
1213;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2100;"P";30;"140-1";1;682,895844486641
1214;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2200;"P";30;"140-1";1;695,791805181298
1215;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2300;"P";30;"140-1";1;723,85325724153
1216;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2400;"P";30;"140-1";1;733,904222747745
2577;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2900;"G";30;"151-1";1;661,880556088346
2578;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;3000;"G";30;"151-1";1;669,354657936348
2579;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;3100;"G";30;"151-1";1;677,097160498537
2604;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;2900;"P";30;"151-1";1;661,880556088346
2605;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;3000;"P";30;"151-1";1;669,354657936348
2606;60;"G";90;1;0,982456140350877;1;0,929824561403509;0,912280701754386;3100;"P";30;"151-1";1;677,097160498537
