"";"G1";"s90"
"0:00";1;2
"2:00";1;2
"4:00";0;1
"6:00";1;1
"8:00";1;2
"10:00";2;3
"12:00";1;2
"14:00";3;5
"16:00";1;2
"18:00";0;4
"20:00";4;2
"22:00";2;2
"24:00";4;0
"26:00";7;1
"28:00";0;0
"30:00";1;0
"32:00";1;0
"34:00";0;1
"36:00";0;0
"38:00";0;0
"40:00";0;0
"42:00";0;0
"44:00";0;0
"46:00";0;0
"48:00";0;0
