"";"G8";"s90"
"0:00";0;1
"2:00";0;1
"4:00";0;1
"6:00";1;2
"8:00";3;0
"10:00";4;2
"12:00";0;4
"14:00";0;0
"16:00";2;0
"18:00";0;0
"20:00";0;3
"22:00";5;2
"24:00";3;2
"26:00";2;3
"28:00";1;0
"30:00";0;1
"32:00";1;1
"34:00";0;0
"36:00";0;0
"38:00";0;0
"40:00";0;0
"42:00";0;0
"44:00";0;0
"46:00";0;0
"48:00";0;0
