"";"G5";"s90"
"0:00";2;2
"2:00";2;3
"4:00";4;2
"6:00";2;0
"8:00";3;5
"10:00";1;3
"12:00";3;0
"14:00";2;1
"16:00";5;0
"18:00";6;2
"20:00";8;4
"22:00";4;1
"24:00";1;0
"26:00";0;0
"28:00";0;0
"30:00";0;1
"32:00";0;0
"34:00";0;0
"36:00";0;0
"38:00";0;0
"40:00";0;0
"42:00";0;0
"44:00";0;0
"46:00";0;0
"48:00";0;0
