"SYS";"TIME";"DIRECTION";"RELATION"
"G13";"#10:36:16.42#16:15:48.20#05:55:54.00#105:13:38.14#09:18:43.18#07:40:54.82#15:27:05.95#10:32:11.60#07:42:53.61#19:39:06.83#100:42:03.22#07:35:51.45#14:47:35.65#15:19:07.96#05:11:01.77#21:54:40.14#08:44:58.65#19:38:58.47#105:19:15.12#09:53:31.96#101:48:31.62#13:20:55.82#15:00:56.16#10:48:40.22#22:33:12.34#16:54:20.87#14:27:32.10#103:02:23.89#105:42:33.20#22:42:52.60#102:07:14.26#103:14:17.53#22:33:54.53#20:42:42.12#12:01:24.85#23:22:30.12#13:13:33.20#15:11:17.99#18:11:25.47#22:55:56.48#08:20:21.87#06:57:50.23#101:53:09.32#16:42:36.66#19:44:30.30#07:08:28.99#05:58:52.64#104:45:08.39#105:34:02.04#06:53:20.05#23:01:39.47#22:25:05.08#21:29:38.36#23:12:36.80#23:16:22.64#103:09:35.65#104:00:12.86#23:24:01.58#100:05:10.18#102:38:49.20#100:37:21.12#12:46:58.51#05:06:02.72#13:06:49.03#19:21:58.75#09:12:34.63#10:06:44.22#15:36:22.32#11:35:21.05#101:50:04.42#101:18:05.77#104:19:33.61#101:34:51.98#16:42:34.02#09:18:03.36#100:01:48.78#22:18:18.00#02:44:06.00#16:48:02.06#19:31:00.27#07:47:26.73#11:50:03.37#15:47:43.28#21:41:36.95#23:57:58.67#01:27:32.45#100:16:07.74#19:45:57.82#10:28:00.00#20:27:30.38#21:54:15.25#17:52:01.09#07:56:03.56#09:51:37.29#15:42:37.25#20:49:54.18#12:15:38.69#00:26:30.00#17:09:39.40";"#Ri#GRi#Ri#GRi#Ri#GRi#Ri#GRi#Ri#GRi#Ri#Ri#Ri#GRi#Ri#GRi#GRi#Ri#Ri#Ri#Ri#GRi#GRi#GRi#Ri#GRi#GRi#Ri#Ri#Ri#GRi#Ri#GRi#GRi#GRi#GRi#Ri#GRi#Ri#GRi#Ri#GRi#Ri#GRi#Ri#Ri#GRi#GRi#GRi#Ri#GRi#GRi#Ri#Ri#GRi#Ri#GRi#Ri#GRi#Ri#Ri#Ri#Ri#Ri#Ri#Ri#Ri#Ri#GRi#GRi#Ri#Ri#GRi#Ri#GRi#Ri#Ri#Ri#Ri#Ri#GRi#GRi#GRi#GRi#GRi#Ri#GRi#GRi#Ri#GRi#Ri#GRi#GRi#GRi#Ri#GRi#Ri#Ri#GRi";"#0.81#0.58#0.55#0.51#0.51#0.5#0.52#0.51#0.56#0.55#0.55#0.55#0.55#0.55#0.5#0.55#0.54#0.55#0.31#0.37#0.5#0.5#0.38#0.5#0.28#0.44#0.27#0.78#0.79#0.45#0.54#0.52#0.34#0.57#0.55#0.44#0.47#0.44#0.44#0.57#0.53#0.43#0.87#0.5#0.45#0.55#0.52#0.29#0.39#0.57#0.56#0.62#0.32#0.35#0.82#0.82#0.48#0.5#0.37#0.45#0.45#0.45#0.74#0.74#0.74#0.5#0.5#0.5#0.48#0.48#0.55#0.89#0.38#0.61#0.54#0.61#0.03#0.03#0.02#0.02#0.03#0.03#0.03#0.03#0.03#0.01#0.71#0.66#0.01#0.63#0.07#0.61#0.57#0.45#0.47#0.79#0.87#0.01#0.01"
"s90";"#106:47:01.62#07:03:17.81#06:08:31.95#100:16:12.48#09:42:00.28#100:10:29.02#100:54:55.11#11:46:08.93#102:36:21.00#21:41:13.18#08:36:40.52#104:30:57.98#09:02:31.35#06:45:40.34#16:36:16.03#04:37:48.69#102:14:01.06#21:16:53.18#104:10:17.23#08:15:23.52#02:23:15.38#07:27:59.93#09:55:15.78#19:01:12.15#21:59:59.06#04:55:25.48#15:30:47.31#23:50:52.06#105:22:44.66";"#Ri#Ri#Ri#Ri#Ri#GRi#GRi#Ri#GRi#Ri#Ri#Ri#Ri#GRi#Ri#Ri#Ri#Ri#Ri#Ri#GRi#GRi#GRi#GRi#GRi#GRi#GRi#Ri#Ri";"#0.55#0.56#0.34#0.5#0.55#0.76#0.56#0.34#0.49#0.56#0.55#0.56#0.44#0.74#0.79#0.6#0.54#0.54#0.49#0.74#0.73#0.73#0.73#0.73#0.73#0.7#0.75#0.61#0.79"
