"SYS";"TIME";"DIRECTION";"RELATION"
"G12";"#16:30:44.83#07:51:16.44#16:06:43.55#08:38:46.86#04:57:03.39#14:52:27.74#19:24:32.04#23:31:40.58#03:36:01.24#104:30:00.00#11:48:44.33#09:31:11.70#07:43:45.05#19:30:22.96#09:52:11.04#20:01:44.98#102:27:33.77#19:51:28.58#16:00:04.82#18:16:48.90#12:35:46.62#23:14:28.00#105:33:32.95#02:35:28.68#102:46:43.87#20:52:19.94#22:20:58.08#100:05:19.07#07:55:15.68#21:30:44.63#20:23:57.74#18:21:34.69#18:31:32.03#11:55:07.57#104:26:16.02#22:16:39.50#07:20:33.09#10:24:54.94#102:05:44.63#100:39:59.29#14:30:06.12#102:48:57.74#08:58:01.47#02:41:53.49#06:13:50.54#09:20:51.32#11:27:10.27#02:20:00.45#10:08:47.71#03:52:39.28#06:54:53.94#09:57:25.08#05:53:41.65#21:48:37.93#08:22:35.88#11:07:30.37#16:40:30.31#05:56:31.94#12:18:27.52#07:23:25.54#13:48:00.89#17:57:17.52#06:42:31.99#04:31:40.51#18:32:36.74#23:23:50.93#18:26:51.82#17:19:46.99#100:51:04.06#101:22:28.76#21:58:51.47#13:57:39.62#20:17:07.96#102:05:05.25#19:47:33.41#100:53:01.42#101:38:00.01#19:00:46.71#109:51:31.41#102:01:14.58#06:20:48.94#101:57:54.61#101:45:13.09#05:30:05.18#102:34:21.03#107:17:15.46#08:47:52.79#06:56:41.50#20:22:13.02#21:26:58.62#101:54:57.81#102:00:20.24#23:03:20.31#18:18:22.25#01:24:28.90#22:25:32.78#21:21:07.63#21:43:08.46#101:32:02.56#108:31:19.54#23:36:43.27#22:19:23.65#18:38:05.92#21:27:10.50#100:10:54.16#20:27:23.75#11:37:40.90#06:10:49.82#09:46:16.96#06:30:54.71#11:18:39.00#07:32:19.36#23:08:27.50#102:54:40.86#07:57:02.10#10:57:32.38#12:11:56.10#10:37:46.51";"#Ri#Ri#GRi#Ri#Ri#Ri#GRi#GRi#Ri#GRi#Ri#Ri#Ri#GRi#Ri#GRi#Ri#Ri#Ri#Ri#GRi#Ri#GRi#GRi#GRi#Ri#Ri#Ri#GRi#Ri#GRi#GRi#Ri#Ri#GRi#Ri#Ri#Ri#GRi#GRi#Ri#Ri#Ri#Ri#Ri#Ri#Ri#Ri#Ri#Ri#Ri#Ri#GRi#Ri#GRi#GRi#GRi#GRi#GRi#GRi#GRi#Ri#Ri#Ri#GRi#GRi#Ri#GRi#Ri#GRi#Ri#Ri#Ri#Ri#GRi#GRi#Ri#Ri#Ri#GRi#GRi#GRi#GRi#Ri#Ri#GRi#Ri#GRi#Ri#Ri#GRi#Ri#Ri#Ri#Ri#Ri#Ri#Ri#GRi#GRi#Ri#GRi#GRi#GRi#Ri#GRi#GRi#Ri#GRi#Ri#GRi#GRi#Ri#Ri#Ri#Ri#Ri#Ri";"#0.93#0.31#0.4#0.37#0.34#0.34#0.19#0.29#0.18#0.0600000000000001#0.34#0.34#0.34#0.34#0.39#0.38#0.38#0.41#0.34#0.34#0.33#0.32#0.35#0.74#0.4#0.48#0.34#0.43#0.36#0.47#0.35#0.4#0.37#0.4#0.34#0.39#0.39#0.34#0.49#0.32#0.41#0.5#0.43#0.27#0.29#0.28#0.27#0.21#0.22#0.26#0.28#0.27#0.5#0.33#0.3#0.03#0.42#0.28#0.28#0.42#0.43#0.26#0.26#0.25#0.25#0.41#0.41#0.25#0.34#0.02#0.65#0.74#0.74#0.67#0.35#0.4#0.37#0.71#0.49#0.03#0.54#0.54#0.43#0.44#0.35#0.38#0.38#0.51#0.55#0.36#0.02#0.37#0.36#0.37#0.03#0.35#0.37#0.32#0.04#0.59#0.27#0.36#0.33#0.31#0.28#0.31#0.53#0.28#0.37#0.34#0.02#0.39#0.51#0.59#0.45#0.94#0.91#0.94"
"s90";"#14:18:39.52#105:30:53.11#13:42:11.98#21:46:51.05#16:28:37.54#14:30:53.11#10:16:44.68";"#GRi#GRi#Ri#GRi#GRi#GRi#GRi";"#0.4#0.34#0.34#0.36#0.48#0.34#0.85"
