"SYS";"TIME";"DIRECTION";"RELATION"
"s90";"#05:26:15.49#100:22:21.02#19:11:49.78#07:21:05.66#04:26:38.93#22:42:56.73#05:06:01.85";"#GRi#GRi#Ri#GRi#GRi#Ri#GRi";"#0.15#0.58#0.48#0.14#0.61#0.55#0.58"
"G12";"#13:51:46.90#23:43:30.79#101:52:29.76#100:26:14.50#104:16:02.98#101:21:26.90#23:00:21.52#10:55:37.97#05:01:35.50#08:12:52.94#11:13:36.12#101:31:17.67#06:37:39.11#10:06:00.16#03:50:45.41#10:33:58.50#13:39:12.53#05:18:34.48#11:02:34.36#14:39:29.79#21:12:58.12#07:51:09.69#21:06:26.89#100:31:51.53#100:05:55.66#09:44:25.53#01:45:08.92#102:37:55.88#22:19:23.86#10:13:16.28";"#Ri#GRi#Ri#GRi#Ri#Ri#GRi#Ri#Ri#Ri#Ri#Ri#GRi#GRi#GRi#GRi#GRi#GRi#GRi#GRi#Ri#GRi#GRi#GRi#GRi#GRi#GRi#GRi#Ri#Ri";"#0.62#0.17#0.52#0.76#0.56#0.57#0.56#0.69#0.61#0.61#0.61#0.33#0.65#0.63#0.61#0.61#0.58#0.68#0.7#0.38#0.47#0.01#0.49#0.44#0.57#0.83#0.72#0.6#0.61#0.74"
