"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
12;61;"G";100;1;0,943820224719101;1;0,917602996254682;0,910112359550562;"ER 20D-2";1880;1;80;746,259039057994
14;61;"G";100;1;0,943820224719101;1;0,917602996254682;0,910112359550562;"211-1";2241;2;80;883,736961496171
20;61;"G";100;0,99625468164794;0,943820224719101;1;0,917602996254682;0,910112359550562;"189-2";2786;1;90;624,752739433442
26;61;"G";100;1;0,943820224719101;1;0,917602996254682;0,910112359550562;"28-1";2385;1;90;600,184697353645
32;61;"G";100;0,98501872659176;0,943820224719101;1;0,917602996254682;0,910112359550562;"295-1";1279;1;80;889,006873563089
34;61;"G";100;1;0,943820224719101;1;0,917602996254682;0,910112359550562;"185-2";2635;1;90;620,418864540445
35;61;"G";100;1;0,943820224719101;1;0,917602996254682;0,910112359550562;"185-2";2735;1;90;629,094361966156
36;61;"G";100;1;0,943820224719101;1;0,917602996254682;0,910112359550562;"185-2";2785;1;90;633,58086915067
37;61;"G";100;0,99625468164794;0,943820224719101;1;0,917602996254682;0,910112359550562;"185-2";2235;1;90;588,872803312127
42;61;"G";100;1;0,943820224719101;1;0,917602996254682;0,910112359550562;"185-2";2435;1;90;604,084112081587
43;61;"G";100;0,98501872659176;0,943820224719101;1;0,917602996254682;0,910112359550562;"140-1";1683;1;100;611,116644537155
49;61;"G";100;1;0,943820224719101;1;0,917602996254682;0,910112359550562;"140-1";2083;1;100;670,800262981201
57;61;"G";100;1;0,943820224719101;1;0,917602996254682;0,910112359550562;"264-1";3456;1;80;765,887583017809
67;61;"G";100;0,9812734082397;0,943820224719101;1;0,917602996254682;0,910112359550562;"152-3";2487;1;100;592,679897676521
77;61;"G";100;0,99625468164794;0,943820224719101;1;0,917602996254682;0,910112359550562;"185CL1-1";2384;1;100;599,915914613198
79;61;"G";100;1;0,943820224719101;1;0,917602996254682;0,910112359550562;"G1206-3";2087;1;80;883,367468423894
