"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
79;62;"G";90;1;0,933333333333333;1;0,964102564102564;0,907692307692308;"G1206-3";2087;1;80;883,367468423894
175;62;"G";90;0,994871794871795;0,933333333333333;1;0,964102564102564;0,907692307692308;"G1206-1";2690;1;80;1021,47582818879
420;62;"G";90;1;0,933333333333333;1;0,964102564102564;0,907692307692308;"DE1002-1";3990;1;80;1155,78017715167
429;62;"G";90;0,98974358974359;0,933333333333333;1;0,964102564102564;0,907692307692308;"G1206-3";3674;2;80;860,529187374215
430;62;"G";90;1;0,933333333333333;1;0,964102564102564;0,907692307692308;"G1206-3";2187;1;80;893,736394836174
432;62;"G";90;0,98974358974359;0,933333333333333;1;0,964102564102564;0,907692307692308;"203-1";1868;1;90;876,915924242969
444;62;"G";90;0,98974358974359;0,933333333333333;1;0,964102564102564;0,907692307692308;"203-1";1668;1;80;792,24707215649
470;62;"G";90;0,994871794871795;0,933333333333333;1;0,964102564102564;0,907692307692308;"66-2";3726;1;90;876,356908242111
503;62;"G";90;0,98974358974359;0,933333333333333;1;0,964102564102564;0,907692307692308;"G1206-4";1887;1;60;865,712512650703
558;62;"G";90;0,984615384615385;0,933333333333333;1;0,964102564102564;0,902564102564103;"225-1";1428;1;80;782,908512801698
649;62;"G";90;0,994871794871795;0,933333333333333;1;0,964102564102564;0,907692307692308;"G1206-3";1887;1;100;864,941777996404
676;62;"G";90;0,994871794871795;0,933333333333333;1;0,964102564102564;0,907692307692308;"1293-2";1680;1;65;921,334459946183
711;62;"G";90;1;0,933333333333333;1;0,964102564102564;0,907692307692308;"294-1";1764;1;40;1056,52845475141
712;62;"G";90;1;0,933333333333333;1;0,964102564102564;0,907692307692308;"294-2";1789;1;40;850,482585930078
723;62;"G";90;1;0,933333333333333;1;0,964102564102564;0,907692307692308;"363-1";2376;2;60;1103,09711723805
758;62;"G";90;0,984615384615385;0,933333333333333;1;0,964102564102564;0,902564102564103;"203-1";1598;1;100;781,902042638094
872;62;"G";90;0,98974358974359;0,933333333333333;1;0,964102564102564;0,907692307692308;"232-2";2762;1;100;852,467786771253
883;62;"G";90;0,994871794871795;0,933333333333333;1;0,964102564102564;0,907692307692308;"66-1";3726;1;90;876,356908242111
894;62;"G";90;0,948717948717949;0,933333333333333;1;0,964102564102564;0,902564102564103;"371-1";2084;1;100;740,655703291717
904;62;"G";90;0,948717948717949;0,933333333333333;1;0,964102564102564;0,902564102564103;"180-1";2484;1;90;750,985958691341
920;62;"G";90;0,98974358974359;0,933333333333333;1;0,964102564102564;0,907692307692308;"264-1";4356;1;80;876,87510703218
923;62;"G";90;0,98974358974359;0,933333333333333;1;0,964102564102564;0,907692307692308;"246-1";2482;1;80;861,830255963242
925;62;"G";90;0,984615384615385;0,933333333333333;1;0,964102564102564;0,902564102564103;"285-2";2560;1;90;778,273586937253
949;62;"G";90;0,98974358974359;0,933333333333333;1;0,964102564102564;0,907692307692308;"232-2";2772;1;90;852,9543578825
1009;62;"G";90;1;0,933333333333333;1;0,964102564102564;0,907692307692308;"G1206-3";1937;1;100;869,30840562165
1023;62;"G";90;1;0,933333333333333;1;0,964102564102564;0,907692307692308;"247-1";4809;1;90;1032,66786239258
1024;62;"G";90;1;0,933333333333333;1;0,964102564102564;0,907692307692308;"66-1";4806;1;90;1038,37163021269
1031;62;"G";90;1;0,933333333333333;1;0,964102564102564;0,907692307692308;"295-2";1829;1;40;878,723213651964
1047;62;"G";90;0,994871794871795;0,933333333333333;1;0,964102564102564;0,907692307692308;"295-1";1679;1;40;1045,1418945199
14;61;"G";90;0,984615384615385;0,943589743589744;1;0,964102564102564;0,907692307692308;"211-1";2241;2;80;883,736961496171
57;61;"G";90;0,974358974358974;0,943589743589744;1;0,964102564102564;0,902564102564103;"264-1";3456;1;80;765,887583017809
79;61;"G";90;1;0,943589743589744;1;0,964102564102564;0,917948717948718;"G1206-3";2087;1;80;883,367468423894
128;61;"G";90;0,984615384615385;0,943589743589744;1;0,964102564102564;0,907692307692308;"9274-1";1980;1;80;1021,11895287679
175;61;"G";90;0,994871794871795;0,943589743589744;1;0,964102564102564;0,917948717948718;"G1206-1";2690;1;80;1021,47582818879
177;61;"G";90;0,984615384615385;0,943589743589744;1;0,964102564102564;0,907692307692308;"G1206-1";2590;1;80;1016,52311609825
184;61;"G";90;0,979487179487179;0,943589743589744;1;0,964102564102564;0,907692307692308;"G1206-3";1687;1;80;848,741788622444
206;61;"G";90;0,974358974358974;0,943589743589744;1;0,964102564102564;0,902564102564103;"G1700-2";1688;1;90;762,55635926115
420;61;"G";90;1;0,943589743589744;1;0,964102564102564;0,917948717948718;"DE1002-1";3990;1;80;1155,78017715167
