"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
14;50;"P";100;1;1;0,96;0,92;0,92;"211-1";2241;2;80;868,856009115219
32;50;"P";100;0,96;1;0,96;0,92;0,92;"295-1";1279;1;80;874,125921182136
79;50;"P";100;1;1;0,96;0,92;0,92;"G1206-3";2087;1;80;868,486516042941
102;50;"P";100;0,96;1;0,96;0,92;0,92;"G1206-1";2090;1;80;848,34885522398
128;50;"P";100;1;1;0,96;0,92;0,92;"9274-1";1980;1;80;1009,21419097202
164;50;"P";100;1;1;0,96;0,92;0,92;"294-3";1480;1;80;866,391200038519
175;50;"P";100;1;1;0,96;0,92;0,92;"G1206-1";2690;1;80;1009,57106628403
177;50;"P";100;1;1;0,96;0,92;0,92;"G1206-1";2590;1;80;1004,61835419349
184;50;"P";100;1;1;0,96;0,92;0,92;"G1206-3";1687;1;80;833,860836241492
266;50;"P";100;0,96;1;0,96;0,92;0,92;"294-3";1380;1;80;852,312912252603
292;50;"P";100;0,96;1;0,96;0,92;0,92;"294-1";1279;1;80;876,808216840436
417;50;"P";100;0,96;1;0,96;0,92;0,92;"G1206-1";4100;2;80;844,675781828861
420;50;"P";100;1;1;0,96;0,92;0,92;"DE1002-1";3990;1;80;1144,47065334214
429;50;"P";100;1;1;0,96;0,92;0,92;"G1206-3";3674;2;80;845,648234993263
430;50;"P";100;1;1;0,96;0,92;0,92;"G1206-3";2187;1;80;878,855442455221
460;50;"P";100;0,96;1;0,96;0,92;0,92;"G1700-1";1687;1;90;829,759277213968
463;50;"P";100;1;1;0,96;0,92;0,92;"66-1";3526;1;100;851,471826254512
470;50;"P";100;1;1;0,96;0,92;0,92;"66-2";3726;1;90;861,475955861158
503;50;"P";100;1;1;0,96;0,92;0,92;"G1206-4";1887;1;60;850,831560269751
533;50;"P";100;1;1;0,96;0,92;0,92;"261-1";1480;1;80;866,956293901937
561;50;"P";100;1;1;0,96;0,92;0,92;"G1700-1";2087;1;80;843,448458432685
628;50;"P";100;1;1;0,96;0,92;0,92;"294-1";1329;1;80;888,409434187344
639;50;"P";100;0,96;1;0,96;0,92;0,92;"D 75BB-1";1066;1;80;858,288374624192
649;50;"P";100;1;1;0,96;0,92;0,92;"G1206-3";1887;1;100;850,060825615451
676;50;"P";100;1;1;0,96;0,92;0,92;"1293-2";1680;1;65;907,048745660469
703;50;"P";100;0,96;1;0,96;0,92;0,92;"294-3";1370;1;80;851,010852258939
711;50;"P";100;1;1;0,96;0,92;0,92;"294-1";1764;1;40;1044,62369284665
712;50;"P";100;1;1;0,96;0,92;0,92;"294-2";1789;1;40;826,673062120555
723;50;"P";100;1;1;0,96;0,92;0,92;"363-1";2376;2;60;1091,19235533329
779;50;"P";100;1;1;0,96;0,92;0,92;"250-1";3476;1;90;840,242435762511
883;50;"P";100;1;1;0,96;0,92;0,92;"66-1";3726;1;90;861,475955861158
923;50;"P";100;1;1;0,96;0,92;0,92;"246-1";2482;1;80;846,949303582289
940;50;"P";100;0,96;1;0,96;0,92;0,92;"298-1";1168;1;80;993,092254336633
947;50;"P";100;1;1;0,96;0,92;0,92;"261-2";1880;1;50;1010,30899925568
951;50;"P";100;1;1;0,96;0,92;0,92;"261-1";1400;1;80;855,699470896343
952;50;"P";100;0,96;1;0,96;0,92;0,92;"261-1";1330;1;80;846,734229834727
953;50;"P";100;0,96;1;0,96;0,92;0,92;"261-1";1380;1;100;853,063597455062
974;50;"P";100;1;1;0,96;0,92;0,92;"295-1";1359;1;80;892,217654493737
977;50;"P";100;1;1;0,96;0,92;0,92;"260-2";1704;1;90;836,940762254578
990;50;"P";100;1;1;0,96;0,92;0,92;"261-2";1965;1;50;1017,40948465772
1009;50;"P";100;1;1;0,96;0,92;0,92;"G1206-3";1937;1;100;854,427453240697
1023;50;"P";100;1;1;0,96;0,92;0,92;"247-1";4809;1;90;1020,76310048782
1024;50;"P";100;1;1;0,96;0,92;0,92;"66-1";4806;1;90;1026,46686830793
1027;50;"P";100;1;1;0,96;0,92;0,92;"G1000-1";1380;1;100;846,216278255361
1031;50;"P";100;1;1;0,96;0,92;0,92;"295-2";1829;1;40;847,868633633527
1046;50;"P";100;1;1;0,96;0,92;0,92;"295-1";1379;1;40;897,690764899789
1047;50;"P";100;1;1;0,96;0,92;0,92;"295-1";1679;1;40;1033,23713261514
1053;50;"P";100;1;1;0,96;0,92;0,92;"295-1";1479;1;80;1012,37115678078
14;50;"G";100;1;1;1;0,92;0,92;"211-1";2241;2;80;883,736961496171
32;50;"G";100;0,96;1;1;0,92;0,92;"295-1";1279;1;80;889,006873563089
79;50;"G";100;1;1;1;0,92;0,92;"G1206-3";2087;1;80;883,367468423894
102;50;"G";100;0,96;1;1;0,92;0,92;"G1206-1";2090;1;80;863,229807604932
128;50;"G";100;1;1;1;0,92;0,92;"9274-1";1980;1;80;1021,11895287679
164;50;"G";100;1;1;1;0,92;0,92;"294-3";1480;1;80;881,272152419471
175;50;"G";100;1;1;1;0,92;0,92;"G1206-1";2690;1;80;1021,47582818879
177;50;"G";100;1;1;1;0,92;0,92;"G1206-1";2590;1;80;1016,52311609825
184;50;"G";100;1;1;1;0,92;0,92;"G1206-3";1687;1;80;848,741788622444
266;50;"G";100;0,96;1;1;0,92;0,92;"294-3";1380;1;80;867,193864633555
292;50;"G";100;0,96;1;1;0,92;0,92;"294-1";1279;1;80;891,689169221388
417;50;"G";100;0,96;1;1;0,92;0,92;"G1206-1";4100;2;80;859,556734209813
420;50;"G";100;1;1;1;0,92;0,92;"DE1002-1";3990;1;80;1155,78017715167
429;50;"G";100;1;1;1;0,92;0,92;"G1206-3";3674;2;80;860,529187374215
430;50;"G";100;1;1;1;0,92;0,92;"G1206-3";2187;1;80;893,736394836174
460;50;"G";100;0,96;1;1;0,92;0,92;"G1700-1";1687;1;90;844,640229594921
463;50;"G";100;1;1;1;0,92;0,92;"66-1";3526;1;100;866,352778635464
470;50;"G";100;1;1;1;0,92;0,92;"66-2";3726;1;90;876,356908242111
503;50;"G";100;1;1;1;0,92;0,92;"G1206-4";1887;1;60;865,712512650703
533;50;"G";100;1;1;1;0,92;0,92;"261-1";1480;1;80;881,837246282889
561;50;"G";100;1;1;1;0,92;0,92;"G1700-1";2087;1;80;859,519887004114
628;50;"G";100;1;1;1;0,92;0,92;"294-1";1329;1;80;903,290386568296
639;50;"G";100;0,96;1;1;0,92;0,92;"D 75BB-1";1066;1;80;873,169327005145
649;50;"G";100;1;1;1;0,92;0,92;"G1206-3";1887;1;100;864,941777996404
676;50;"G";100;1;1;1;0,92;0,92;"1293-2";1680;1;65;921,334459946183
703;50;"G";100;0,96;1;1;0,92;0,92;"294-3";1370;1;80;865,891804639891
711;50;"G";100;1;1;1;0,92;0,92;"294-1";1764;1;40;1056,52845475141
712;50;"G";100;1;1;1;0,92;0,92;"294-2";1789;1;40;850,482585930078
723;50;"G";100;1;1;1;0,92;0,92;"363-1";2376;2;60;1103,09711723805
779;50;"G";100;1;1;1;0,92;0,92;"250-1";3476;1;90;855,123388143463
883;50;"G";100;1;1;1;0,92;0,92;"66-1";3726;1;90;876,356908242111
923;50;"G";100;1;1;1;0,92;0,92;"246-1";2482;1;80;861,830255963242
940;50;"G";100;0,96;1;1;0,92;0,92;"298-1";1168;1;80;1004,99701624139
947;50;"G";100;1;1;1;0,92;0,92;"261-2";1880;1;50;1022,21376116044
951;50;"G";100;1;1;1;0,92;0,92;"261-1";1400;1;80;870,580423277295
952;50;"G";100;0,96;1;1;0,92;0,92;"261-1";1330;1;80;861,61518221568
953;50;"G";100;0,96;1;1;0,92;0,92;"261-1";1380;1;100;867,944549836015
974;50;"G";100;1;1;1;0,92;0,92;"295-1";1359;1;80;907,09860687469
977;50;"G";100;1;1;1;0,92;0,92;"260-2";1704;1;90;851,82171463553
990;50;"G";100;1;1;1;0,92;0,92;"261-2";1965;1;50;1029,31424656248
1009;50;"G";100;1;1;1;0,92;0,92;"G1206-3";1937;1;100;869,30840562165
1023;50;"G";100;1;1;1;0,92;0,92;"247-1";4809;1;90;1032,66786239258
1024;50;"G";100;1;1;1;0,92;0,92;"66-1";4806;1;90;1038,37163021269
1027;50;"G";100;1;1;1;0,92;0,92;"G1000-1";1380;1;100;861,097230636314
1031;50;"G";100;1;1;1;0,92;0,92;"295-2";1829;1;40;878,723213651964
1046;50;"G";100;1;1;1;0,92;0,92;"295-1";1379;1;40;912,571717280742
1047;50;"G";100;1;1;1;0,92;0,92;"295-1";1679;1;40;1045,1418945199
1053;50;"G";100;1;1;1;0,92;0,92;"295-1";1479;1;80;1024,27591868554
14;60;"P";90;1;0,96;0,96;1;0,92;"211-1";2241;2;80;868,856009115219
32;60;"P";90;0,96;0,96;0,96;1;0,92;"295-1";1279;1;80;874,125921182136
79;60;"P";90;1;0,96;0,96;1;0,92;"G1206-3";2087;1;80;868,486516042941
102;60;"P";90;0,96;0,96;0,96;1;0,92;"G1206-1";2090;1;80;848,34885522398
128;60;"P";90;1;0,96;0,96;1;0,92;"9274-1";1980;1;80;1009,21419097202
164;60;"P";90;1;0,96;0,96;1;0,92;"294-3";1480;1;80;866,391200038519
175;60;"P";90;1;0,96;0,96;1;0,92;"G1206-1";2690;1;80;1009,57106628403
177;60;"P";90;1;0,96;0,96;1;0,92;"G1206-1";2590;1;80;1004,61835419349
184;60;"P";90;1;0,96;0,96;1;0,92;"G1206-3";1687;1;80;833,860836241492
266;60;"P";90;0,96;0,96;0,96;1;0,92;"294-3";1380;1;80;852,312912252603
292;60;"P";90;0,96;0,96;0,96;1;0,92;"294-1";1279;1;80;876,808216840436
417;60;"P";90;0,96;0,96;0,96;1;0,92;"G1206-1";4100;2;80;844,675781828861
420;60;"P";90;1;0,96;0,96;1;0,92;"DE1002-1";3990;1;80;1144,47065334214
429;60;"P";90;1;0,96;0,96;1;0,92;"G1206-3";3674;2;80;845,648234993263
430;60;"P";90;1;0,96;0,96;1;0,92;"G1206-3";2187;1;80;878,855442455221
460;60;"P";90;0,96;0,96;0,96;1;0,92;"G1700-1";1687;1;90;829,759277213968
463;60;"P";90;1;0,96;0,96;1;0,92;"66-1";3526;1;100;851,471826254512
470;60;"P";90;1;0,96;0,96;1;0,92;"66-2";3726;1;90;861,475955861158
503;60;"P";90;1;0,96;0,96;1;0,92;"G1206-4";1887;1;60;850,831560269751
533;60;"P";90;1;0,96;0,96;1;0,92;"261-1";1480;1;80;866,956293901937
561;60;"P";90;1;0,96;0,96;1;0,92;"G1700-1";2087;1;80;843,448458432685
628;60;"P";90;1;0,96;0,96;1;0,92;"294-1";1329;1;80;888,409434187344
639;60;"P";90;0,96;0,96;0,96;1;0,92;"D 75BB-1";1066;1;80;858,288374624192
649;60;"P";90;1;0,96;0,96;1;0,92;"G1206-3";1887;1;100;850,060825615451
676;60;"P";90;1;0,96;0,96;1;0,92;"1293-2";1680;1;65;907,048745660469
703;60;"P";90;0,96;0,96;0,96;1;0,92;"294-3";1370;1;80;851,010852258939
711;60;"P";90;1;0,96;0,96;1;0,92;"294-1";1764;1;40;1044,62369284665
712;60;"P";90;1;0,96;0,96;1;0,92;"294-2";1789;1;40;826,673062120555
723;60;"P";90;1;0,96;0,96;1;0,92;"363-1";2376;2;60;1091,19235533329
779;60;"P";90;1;0,96;0,96;1;0,92;"250-1";3476;1;90;840,242435762511
883;60;"P";90;1;0,96;0,96;1;0,92;"66-1";3726;1;90;861,475955861158
923;60;"P";90;1;0,96;0,96;1;0,92;"246-1";2482;1;80;846,949303582289
940;60;"P";90;0,96;0,96;0,96;1;0,92;"298-1";1168;1;80;993,092254336633
947;60;"P";90;1;0,96;0,96;1;0,92;"261-2";1880;1;50;1010,30899925568
951;60;"P";90;1;0,96;0,96;1;0,92;"261-1";1400;1;80;855,699470896343
952;60;"P";90;0,96;0,96;0,96;1;0,92;"261-1";1330;1;80;846,734229834727
953;60;"P";90;0,96;0,96;0,96;1;0,92;"261-1";1380;1;100;853,063597455062
974;60;"P";90;1;0,96;0,96;1;0,92;"295-1";1359;1;80;892,217654493737
977;60;"P";90;1;0,96;0,96;1;0,92;"260-2";1704;1;90;836,940762254578
990;60;"P";90;1;0,96;0,96;1;0,92;"261-2";1965;1;50;1017,40948465772
1009;60;"P";90;1;0,96;0,96;1;0,92;"G1206-3";1937;1;100;854,427453240697
1023;60;"P";90;1;0,96;0,96;1;0,92;"247-1";4809;1;90;1020,76310048782
1024;60;"P";90;1;0,96;0,96;1;0,92;"66-1";4806;1;90;1026,46686830793
1027;60;"P";90;1;0,96;0,96;1;0,92;"G1000-1";1380;1;100;846,216278255361
1031;60;"P";90;1;0,96;0,96;1;0,92;"295-2";1829;1;40;847,868633633527
1046;60;"P";90;1;0,96;0,96;1;0,92;"295-1";1379;1;40;897,690764899789
1047;60;"P";90;1;0,96;0,96;1;0,92;"295-1";1679;1;40;1033,23713261514
1053;60;"P";90;1;0,96;0,96;1;0,92;"295-1";1479;1;80;1012,37115678078
