"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
9;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"295-1";1079;1;80;840,767427420357
14;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"211-1";2241;2;80;868,856009115219
32;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"295-1";1279;1;80;874,125921182136
79;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1206-3";2087;1;80;868,486516042941
98;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1206-1";1815;1;80;827,567584800507
102;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1206-1";2090;1;80;848,34885522398
128;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"9274-1";1980;1;80;1009,21419097202
164;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"294-3";1480;1;80;866,391200038519
166;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"294-3";1245;1;80;835,938264255897
175;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1206-1";2690;1;80;1009,57106628403
177;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1206-1";2590;1;80;1004,61835419349
181;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"DH1004-1";1072;1;90;761,324117047126
184;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1206-3";1687;1;80;833,860836241492
262;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"294-1";1079;1;80;842,070390564308
266;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"294-3";1380;1;80;852,312912252603
288;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"261-1";1280;1;60;808,587415194737
292;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"294-1";1279;1;80;876,808216840436
376;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"294-3";1280;1;80;839,957208015393
417;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1206-1";4100;2;80;844,675781828861
420;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"DE1002-1";3990;1;80;1144,47065334214
421;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1206-1";1890;1;80;832,861234470851
429;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1206-3";3674;2;80;845,648234993263
430;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1206-3";2187;1;80;878,855442455221
432;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"203-1";1868;1;90;862,034971862017
460;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1700-1";1687;1;90;829,759277213968
463;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"66-1";3526;1;100;851,471826254512
470;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"66-2";3726;1;90;861,475955861158
479;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"294-3";1180;1;80;828,821204624285
496;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1206-1";1790;1;80;825,855425369036
497;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1206-1";1770;1;80;824,503435149423
503;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1206-4";1887;1;60;850,831560269751
533;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"261-1";1480;1;80;866,956293901937
561;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1700-1";2087;1;80;843,448458432685
628;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"294-1";1329;1;80;888,409434187344
639;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"D 75BB-1";1066;1;80;858,288374624192
649;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"G1206-3";1887;1;100;850,060825615451
654;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"298-1";1068;1;80;864,554926740386
672;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"290-1";1079;1;80;842,12687115068
676;62;"P";80;1;0,925925925925926;1;1;0,925925925925926;"1293-2";1680;1;65;907,048745660469
