"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
420;53;"G";90;1;0,915254237288136;1;0,954802259887006;0,903954802259887;"DE1002-1";3990;1;80;1155,78017715167
430;53;"G";90;0,988700564971751;0,915254237288136;1;0,954802259887006;0,903954802259887;"G1206-3";2187;1;80;893,736394836174
432;53;"G";90;0,983050847457627;0,915254237288136;1;0,954802259887006;0,903954802259887;"203-1";1868;1;90;876,915924242969
723;53;"G";90;1;0,915254237288136;1;0,954802259887006;0,903954802259887;"363-1";2376;2;60;1103,09711723805
920;53;"G";90;0,983050847457627;0,915254237288136;1;0,954802259887006;0,903954802259887;"264-1";4356;1;80;876,87510703218
1023;53;"G";90;1;0,915254237288136;1;0,954802259887006;0,903954802259887;"247-1";4809;1;90;1032,66786239258
1024;53;"G";90;1;0,915254237288136;1;0,954802259887006;0,903954802259887;"66-1";4806;1;90;1038,37163021269
79;52;"G";90;0,983050847457627;0,937853107344633;1;0,954802259887006;0,92090395480226;"G1206-3";2087;1;80;883,367468423894
420;52;"G";90;1;0,937853107344633;1;0,954802259887006;0,926553672316384;"DE1002-1";3990;1;80;1155,78017715167
430;52;"G";90;0,988700564971751;0,937853107344633;1;0,954802259887006;0,926553672316384;"G1206-3";2187;1;80;893,736394836174
432;52;"G";90;0,983050847457627;0,937853107344633;1;0,954802259887006;0,926553672316384;"203-1";1868;1;90;876,915924242969
444;52;"G";90;0,977401129943503;0,937853107344633;1;0,954802259887006;0,92090395480226;"203-1";1668;1;80;792,24707215649
712;52;"G";90;0,983050847457627;0,937853107344633;1;0,954802259887006;0,909604519774011;"294-2";1789;1;40;850,482585930078
723;52;"G";90;1;0,937853107344633;1;0,954802259887006;0,926553672316384;"363-1";2376;2;60;1103,09711723805
758;52;"G";90;0,966101694915254;0,937853107344633;1;0,954802259887006;0,909604519774011;"203-1";1598;1;100;781,902042638094
897;52;"G";90;0,937853107344633;0,937853107344633;1;0,954802259887006;0,903954802259887;"180-1";2384;1;90;739,848908452917
904;52;"G";90;0,937853107344633;0,937853107344633;1;0,954802259887006;0,903954802259887;"180-1";2484;1;90;750,985958691341
