"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
828;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"140-1";2283;1;100;695,791805181298
872;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"232-2";2762;1;100;852,467786771253
883;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"66-1";3726;1;90;876,356908242111
890;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"180-1";2084;1;100;683,697100033551
894;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"371-1";2084;1;100;740,655703291717
897;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"180-1";2384;1;90;739,848908452917
900;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"371-1";1884;1;100;715,305773292214
902;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"180-1";2074;1;100;682,444907837691
904;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"180-1";2484;1;90;750,985958691341
909;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"180-1";2064;1;90;681,199472667362
914;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"180-1";2284;1;90;710,313658532563
915;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"180-1";1884;1;90;659,847857745824
920;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"264-1";4356;1;80;876,87510703218
923;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"246-1";2482;1;80;861,830255963242
925;63;"G";90;0,966942148760331;0,909090909090909;1;0,925619834710744;0,900826446280992;"285-2";2560;1;90;778,273586937253
937;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"155-1";3073;1;90;701,910058021542
949;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"232-2";2772;1;90;852,9543578825
950;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"232-2";2662;1;90;785,513332220166
964;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"185CL1-1";2894;1;90;655,607070909318
990;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"261-2";1965;1;50;1029,31424656248
1009;63;"G";90;0,983471074380165;0,909090909090909;1;0,925619834710744;0,900826446280992;"G1206-3";1937;1;100;869,30840562165
1017;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"155-1";3023;1;90;681,290696433359
1023;63;"G";90;1;0,909090909090909;1;0,925619834710744;0,900826446280992;"247-1";4809;1;90;1032,66786239258
1024;63;"G";90;1;0,909090909090909;1;0,925619834710744;0,900826446280992;"66-1";4806;1;90;1038,37163021269
1031;63;"G";90;1;0,909090909090909;1;0,925619834710744;0,900826446280992;"295-2";1829;1;40;878,723213651964
1036;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"140-1";2063;1;90;668,466313022513
1047;63;"G";90;1;0,909090909090909;1;0,925619834710744;0,900826446280992;"295-1";1679;1;40;1045,1418945199
1053;63;"G";90;1;0,909090909090909;1;0,925619834710744;0,900826446280992;"295-1";1479;1;80;1024,27591868554
1054;63;"G";90;0,942148760330578;0,909090909090909;1;0,925619834710744;0,900826446280992;"6186-1";2884;1;90;655,06251651692
12;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"ER 20D-2";1880;1;80;746,259039057994
14;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"211-1";2241;2;80;883,736961496171
49;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"140-1";2083;1;100;670,800262981201
57;62;"G";90;0,966942148760331;0,925619834710744;1;0,925619834710744;0,917355371900826;"264-1";3456;1;80;765,887583017809
79;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"G1206-3";2087;1;80;883,367468423894
94;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"185CL1-1";2984;1;100;662,002218059334
128;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"9274-1";1980;1;80;1021,11895287679
129;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"140-1";4086;2;90;665,774164163545
143;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"140-1";3966;2;90;659,035294102765
155;62;"G";90;0,933884297520661;0,925619834710744;1;0,925619834710744;0,909090909090909;"140-1";1873;1;90;636,5743960239
162;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"140-1";1883;1;90;638,016549486224
164;62;"G";90;0,991735537190083;0,925619834710744;1;0,925619834710744;0,909090909090909;"294-3";1480;1;80;881,272152419471
167;62;"G";90;0,958677685950413;0,925619834710744;1;0,925619834710744;0,909090909090909;"232-2";2322;1;80;755,6825161526
175;62;"G";90;1;0,925619834710744;1;0,925619834710744;0,917355371900826;"G1206-1";2690;1;80;1021,47582818879
177;62;"G";90;1;0,925619834710744;1;0,925619834710744;0,917355371900826;"G1206-1";2590;1;80;1016,52311609825
181;62;"G";90;0,975206611570248;0,925619834710744;1;0,925619834710744;0,909090909090909;"DH1004-1";1072;1;90;779,181259904269
184;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"G1206-3";1687;1;80;848,741788622444
206;62;"G";90;0,966942148760331;0,925619834710744;1;0,925619834710744;0,917355371900826;"G1700-2";1688;1;90;762,55635926115
219;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"185-2";2935;1;90;658,664144084364
226;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"185-2";3075;1;90;668,816333078269
228;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"185-2";3035;1;90;665,874322743458
280;62;"G";90;0,933884297520661;0,925619834710744;1;0,925619834710744;0,909090909090909;"155-1";2773;1;90;658,748418404251
283;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"ER 20D-2";1970;1;90;753,487189198305
286;62;"G";90;0,933884297520661;0,925619834710744;1;0,925619834710744;0,909090909090909;"140-1";1833;1;90;630,918833400238
415;62;"G";90;0,966942148760331;0,925619834710744;1;0,925619834710744;0,917355371900826;"232-2";2422;1;90;763,52993209362
419;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"151-1";2918;1;80;654,653319877115
420;62;"G";90;1;0,925619834710744;1;0,925619834710744;0,917355371900826;"DE1002-1";3990;1;80;1155,78017715167
429;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"G1206-3";3674;2;80;860,529187374215
430;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"G1206-3";2187;1;80;893,736394836174
432;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"203-1";1868;1;90;876,915924242969
444;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"203-1";1668;1;80;792,24707215649
446;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"203-1";1368;1;90;752,817898354465
447;62;"G";90;0,933884297520661;0,925619834710744;1;0,925619834710744;0,909090909090909;"140-1";1733;1;90;617,492438602624
463;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"66-1";3526;1;100;866,352778635464
470;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"66-2";3726;1;90;876,356908242111
481;62;"G";90;0,933884297520661;0,925619834710744;1;0,925619834710744;0,909090909090909;"203-1";1267;1;80;741,679472634862
503;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"G1206-4";1887;1;60;865,712512650703
525;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"139-1";2086;1;100;671,221941191462
533;62;"G";90;0,975206611570248;0,925619834710744;1;0,925619834710744;0,909090909090909;"261-1";1480;1;80;881,837246282889
558;62;"G";90;0,966942148760331;0,925619834710744;1;0,925619834710744;0,917355371900826;"225-1";1428;1;80;782,908512801698
561;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"G1700-1";2087;1;80;859,519887004114
596;62;"G";90;0,933884297520661;0,925619834710744;1;0,925619834710744;0,909090909090909;"155-1";2723;1;100;654,597939389987
620;62;"G";90;0,933884297520661;0,925619834710744;1;0,925619834710744;0,909090909090909;"203-1";1268;1;80;741,785959688446
628;62;"G";90;0,975206611570248;0,925619834710744;1;0,925619834710744;0,909090909090909;"294-1";1329;1;80;903,290386568296
647;62;"G";90;0,958677685950413;0,925619834710744;1;0,925619834710744;0,909090909090909;"G1206-3";1487;1;100;761,720826760884
649;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"G1206-3";1887;1;100;864,941777996404
