"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
12;56;"P";90;0,98;0,94;0,97;0,97;0,91;"ER 20D-2";1880;1;80;728,401896200851
14;56;"P";90;1;0,94;0,97;0,97;0,91;"211-1";2241;2;80;868,856009115219
32;56;"P";90;1;0,94;0,97;0,97;0,91;"295-1";1279;1;80;874,125921182136
57;56;"P";90;0,98;0,94;0,97;0,97;0,91;"264-1";3456;1;80;748,030440160666
79;56;"P";90;1;0,94;0,97;0,97;0,91;"G1206-3";2087;1;80;868,486516042941
102;56;"P";90;0,99;0,94;0,97;0,97;0,91;"G1206-1";2090;1;80;848,34885522398
128;56;"P";90;1;0,94;0,97;0,97;0,91;"9274-1";1980;1;80;1009,21419097202
164;56;"P";90;1;0,94;0,97;0,97;0,91;"294-3";1480;1;80;866,391200038519
167;56;"P";90;0,98;0,94;0,97;0,97;0,91;"232-2";2322;1;80;737,825373295457
174;56;"P";90;0,99;0,94;0,97;0,97;0,91;"260-2";1484;1;90;744,385797582434
175;56;"P";90;1;0,94;0,97;0,97;0,91;"G1206-1";2690;1;80;1009,57106628403
177;56;"P";90;1;0,94;0,97;0,97;0,91;"G1206-1";2590;1;80;1004,61835419349
181;56;"P";90;0,99;0,94;0,97;0,97;0,91;"DH1004-1";1072;1;90;761,324117047126
184;56;"P";90;0,99;0,94;0,97;0,97;0,91;"G1206-3";1687;1;80;833,860836241492
206;56;"P";90;0,98;0,94;0,97;0,97;0,91;"G1700-2";1688;1;90;744,699216404007
266;56;"P";90;1;0,94;0,97;0,97;0,91;"294-3";1380;1;80;852,312912252603
283;56;"P";90;0,98;0,94;0,97;0,97;0,91;"ER 20D-2";1970;1;90;735,630046341163
288;56;"P";90;0,99;0,94;0,97;0,97;0,91;"261-1";1280;1;60;808,587415194737
292;56;"P";90;1;0,94;0,97;0,97;0,91;"294-1";1279;1;80;876,808216840436
297;56;"P";90;0,98;0,94;0,97;0,97;0,91;"ER 20D-5";1530;1;100;715,305357400849
376;56;"P";90;0,99;0,94;0,97;0,97;0,91;"294-3";1280;1;80;839,957208015393
394;56;"P";90;0,98;0,94;0,97;0,97;0,91;"ER 20D-2";1580;1;90;658,846939320053
415;56;"P";90;0,99;0,94;0,97;0,97;0,91;"232-2";2422;1;90;745,672789236477
